"source_key","mission_slug","unit_name","unit_type","address","phones","emails","faxes","websites","jurisdiction","source_url","scraped_at","raw_snapshot"
"04d62062b84286d6b456ada2f335c0c58c76ec9b","t-c-dublin-buyukelciligi-bize-yazin-acil-durum-https-dublin-be-mfa-gov-tr-mission-contact","KONSOLOSLUK ÇAĞRI MERKEZİ 7/24","attached_unit",,"[]","[]","[]","[]",,"https://dublin-be.mfa.gov.tr/Mission/Contact","2026-06-02T08:37:52.051Z","{""title"":""KONSOLOSLUK ÇAĞRI MERKEZİ 7/24"",""body_text"":""YABANCI DÜŞMANLIĞI BİLDİRİMİ\nGO TÜRKİYE\nHEALTH TÜRKİYE\nSTUDY IN TÜRKİYE\nTÜRKİYE'DE YATIRIM İMKANLARI\nTÜRKİYE TECH VISA\nFOTOĞRAF ALBÜMÜ""}"
"529a4e14a4afca49e3f9a1160204fbaa3efafce9","t-c-dublin-buyukelciligi-bize-yazin-acil-durum-https-dublin-be-mfa-gov-tr-mission-contact","Ticaret Müşavirliği","trade",,"[]","[]","[]","[]",,"https://dublin-be.mfa.gov.tr/Mission/Contact","2026-06-02T08:37:52.051Z","{""title"":""Ticaret Müşavirliği"",""body_text"":""Esra Cankorur\nBüyükelçi\nBüyükelçinin Mesajı\nBüyükelçinin Özgeçmişi\nÇALIŞMA SAATLERİ""}"
"0f3275974a999dd6599fa67a29c27ddfcc54752d","tallin-buyukelciligi-bize-yazin-acil-durum-https-tallin-be-mfa-gov-tr-mission-contact","KONSOLOSLUK ÇAĞRI MERKEZİ 7/24","attached_unit",,"[]","[]","[]","[]",,"https://tallin-be.mfa.gov.tr/Mission/Contact","2026-06-02T08:35:17.360Z","{""title"":""KONSOLOSLUK ÇAĞRI MERKEZİ 7/24"",""body_text"":""YABANCI DÜŞMANLIĞI BİLDİRİMİ\nGO TÜRKİYE\nHEALTH TÜRKİYE\nSTUDY IN TÜRKİYE\nTÜRKİYE'DE YATIRIM İMKANLARI\nTÜRKİYE TECH VISA\nFOTOĞRAF ALBÜMÜ""}"
"7fc2810ab8fb1bb526ae2cff9236cab4d4d9ff3c","tallin-buyukelciligi-bize-yazin-acil-durum-https-tallin-be-mfa-gov-tr-mission-contact","Ticaret Müşavirliği","trade",,"[]","[]","[]","[]",,"https://tallin-be.mfa.gov.tr/Mission/Contact","2026-06-02T08:35:17.359Z","{""title"":""Ticaret Müşavirliği"",""body_text"":""Başak Türkoğlu\nBüyükelçi\nBüyükelçinin Mesajı\nBüyükelçinin Özgeçmişi\nBağlı Temsilcilikler\nÇALIŞMA SAATLERİ""}"
"71b4d87b5d08ccff3bfbea3c53a70b0c186a0527","tebriz-baskonsoloslugu-bize-yazin-acil-durum-https-tebriz-bk-mfa-gov-tr-mission-contact","Başkonsolosun Özgeçmişi","labour_social_security",,"[]","[]","[]","[]",,"https://tebriz-bk.mfa.gov.tr/Mission/Contact","2026-06-02T08:37:33.519Z","{""title"":""Başkonsolosun Özgeçmişi"",""body_text"":""ÇALIŞMA SAATLERİ""}"
"d267fc478599701f3cdd04a064f3c85938a7d551","tebriz-baskonsoloslugu-bize-yazin-acil-durum-https-tebriz-bk-mfa-gov-tr-mission-contact","KONSOLOSLUK ÇAĞRI MERKEZİ 7/24","attached_unit",,"[]","[]","[]","[]",,"https://tebriz-bk.mfa.gov.tr/Mission/Contact","2026-06-02T08:37:33.519Z","{""title"":""KONSOLOSLUK ÇAĞRI MERKEZİ 7/24"",""body_text"":""YABANCI DÜŞMANLIĞI BİLDİRİMİ\nGO TÜRKİYE\nHEALTH TÜRKİYE\nSTUDY IN TÜRKİYE\nTÜRKİYE'DE YATIRIM İMKANLARI\nTÜRKİYE TECH VISA\nFOTOĞRAF ALBÜMÜ""}"
"1ce157804fc4770320e91119149f413bcd405883","tebriz-baskonsoloslugu-bize-yazin-acil-durum-https-tebriz-bk-mfa-gov-tr-mission-contact","Ticaret Ataşeliği","trade",,"[]","[]","[]","[]",,"https://tebriz-bk.mfa.gov.tr/Mission/Contact","2026-06-02T08:37:33.519Z","{""title"":""Ticaret Ataşeliği"",""body_text"":""Mete Zaimoğlu""}"
"7ee813dda690f74749799378823557bc83392298","toronto-baskonsoloslugu-bize-yazin-https-toronto-bk-mfa-gov-tr-mission-contact","Başkonsolosun Özgeçmişi","labour_social_security",,"[]","[]","[]","[]",,"https://toronto-bk.mfa.gov.tr/Mission/Contact","2026-06-02T08:40:10.651Z","{""title"":""Başkonsolosun Özgeçmişi"",""body_text"":""ÇALIŞMA SAATLERİ""}"
"ca9e8ea9171014199592fea631710665eeee4283","toronto-baskonsoloslugu-bize-yazin-https-toronto-bk-mfa-gov-tr-mission-contact","KONSOLOSLUK ÇAĞRI MERKEZİ 7/24","attached_unit",,"[]","[]","[]","[]",,"https://toronto-bk.mfa.gov.tr/Mission/Contact","2026-06-02T08:40:10.651Z","{""title"":""KONSOLOSLUK ÇAĞRI MERKEZİ 7/24"",""body_text"":""YABANCI DÜŞMANLIĞI BİLDİRİMİ\nGO TÜRKİYE\nHEALTH TÜRKİYE\nSTUDY IN TÜRKİYE\nTÜRKİYE'DE YATIRIM İMKANLARI\nTÜRKİYE TECH VISA\nFOTOĞRAF ALBÜMÜ""}"
"4722160c59198fcbd03dbe3e8b925984871c3d85","toronto-baskonsoloslugu-bize-yazin-https-toronto-bk-mfa-gov-tr-mission-contact","Ticaret Ataşeliği","trade",,"[]","[]","[]","[]",,"https://toronto-bk.mfa.gov.tr/Mission/Contact","2026-06-02T08:40:10.651Z","{""title"":""Ticaret Ataşeliği"",""body_text"":""Can Yoldaş""}"
"6bc9734ebd7f96f44375596bb0890bdb251c4511","zagreb-buyukelciligi-bize-yazin-acil-durum-https-zagreb-be-mfa-gov-tr-mission-contact","KONSOLOSLUK ÇAĞRI MERKEZİ 7/24","attached_unit",,"[]","[]","[]","[]",,"https://zagreb-be.mfa.gov.tr/Mission/Contact","2026-06-02T08:37:00.285Z","{""title"":""KONSOLOSLUK ÇAĞRI MERKEZİ 7/24"",""body_text"":""YABANCI DÜŞMANLIĞI BİLDİRİMİ\nGO TÜRKİYE\nHEALTH TÜRKİYE\nSTUDY IN TÜRKİYE\nTÜRKİYE'DE YATIRIM İMKANLARI\nTÜRKİYE TECH VISA\nFOTOĞRAF ALBÜMÜ""}"
"dc2836df3fffaae11a83722a405113001d152bf6","zagreb-buyukelciligi-bize-yazin-acil-durum-https-zagreb-be-mfa-gov-tr-mission-contact","Ticaret Müşavirliği","trade",,"[]","[]","[]","[]",,"https://zagreb-be.mfa.gov.tr/Mission/Contact","2026-06-02T08:37:00.284Z","{""title"":""Ticaret Müşavirliği"",""body_text"":""Hayriye Nurdan Erpulat Altuntaş\nBüyükelçi\nBüyükelçinin Mesajı\nBüyükelçinin Özgeçmişi\nBağlı Temsilcilikler\nÇALIŞMA SAATLERİ""}"
