Schema,Table,Index,Kolonlar,Unique,Scans,Olası_Unused,Duplicate_Aday,Risk,Oneri
public,catalog_item_feature_overrides,idx_catalog_item_feature_overrides_item,item_id,hayir,99,hayir,hayir,DUSUK,Koru
public,catalog_item_languages,catalog_item_languages_pkey,"item_id, language_code",EVET,1941,hayir,hayir,DUSUK,Koru
public,catalog_item_languages,idx_catalog_item_languages_primary,item_id,EVET,1941,hayir,hayir,DUSUK,Koru
public,catalog_item_links,catalog_item_links_pkey,id,EVET,638,hayir,hayir,DUSUK,Koru
public,catalog_item_links,idx_catalog_item_links_item_public,"item_id, is_public",hayir,638,hayir,hayir,DUSUK,Koru
public,catalog_item_locations,catalog_item_locations_pkey,id,EVET,326930,hayir,hayir,DUSUK,Koru
public,catalog_item_locations,idx_catalog_item_locations_geo,geo,hayir,326930,hayir,hayir,DUSUK,Koru
public,catalog_item_locations,idx_catalog_item_locations_item_primary,"item_id, is_primary",hayir,326930,hayir,hayir,DUSUK,Koru
public,catalog_item_locations,idx_catalog_item_locations_primary,item_id,EVET,326930,hayir,hayir,DUSUK,Koru
public,catalog_item_media,catalog_item_media_pkey,id,EVET,40034,hayir,hayir,DUSUK,Koru
public,catalog_item_media,idx_catalog_item_media_item_public,"item_id, is_public",hayir,40034,hayir,hayir,DUSUK,Koru
public,catalog_item_media,idx_catalog_item_media_primary,item_id,EVET,40034,hayir,hayir,DUSUK,Koru
public,catalog_item_memberships,catalog_item_memberships_item_id_user_id_role_key,"item_id, user_id, role",EVET,517,hayir,hayir,DUSUK,Koru
public,catalog_item_memberships,catalog_item_memberships_pkey,id,EVET,517,hayir,hayir,DUSUK,Koru
public,catalog_item_memberships,idx_catalog_memberships_item_status,"item_id, status",hayir,517,hayir,hayir,DUSUK,Koru
public,catalog_item_memberships,idx_catalog_memberships_user_status,"user_id, status",hayir,517,hayir,hayir,DUSUK,Koru
public,catalog_item_relations,catalog_item_relations_item_id_related_item_id_relation_typ_key,"item_id, related_item_id, relation_type",EVET,5,hayir,hayir,DUSUK,Koru
public,catalog_item_relations,catalog_item_relations_pkey,id,EVET,5,hayir,hayir,DUSUK,Koru
public,catalog_item_relations,idx_catalog_item_relations_item_type,"item_id, relation_type",hayir,5,hayir,hayir,DUSUK,Koru
public,catalog_item_reports,catalog_item_reports_pkey,id,EVET,2,hayir,hayir,DUSUK,Koru
public,catalog_item_reports,idx_catalog_item_reports_item_status,"item_id, status",hayir,2,hayir,hayir,DUSUK,Koru
public,catalog_item_reviews,catalog_item_reviews_pkey,id,EVET,2,hayir,hayir,DUSUK,Koru
public,catalog_item_reviews,idx_catalog_item_reviews_item_status,"item_id, status",hayir,2,hayir,hayir,DUSUK,Koru
public,catalog_item_section_overrides,catalog_item_section_overrides_item_id_section_key_key,"item_id, section_key",EVET,34,hayir,hayir,DUSUK,Koru
public,catalog_item_section_overrides,catalog_item_section_overrides_pkey,id,EVET,34,hayir,hayir,DUSUK,Koru
public,catalog_item_section_overrides,idx_catalog_item_section_overrides_item,item_id,hayir,34,hayir,hayir,DUSUK,Koru
public,catalog_item_services,catalog_item_services_item_id_service_slug_key,"item_id, service_slug",EVET,1935,hayir,hayir,DUSUK,Koru
public,catalog_item_services,catalog_item_services_pkey,id,EVET,1935,hayir,hayir,DUSUK,Koru
public,catalog_item_services,idx_catalog_item_services_item_public,"item_id, is_public",hayir,1935,hayir,hayir,DUSUK,Koru
public,catalog_item_tags,catalog_item_tags_item_id_tag_slug_key,"item_id, tag_slug",EVET,1949,hayir,hayir,DUSUK,Koru
public,catalog_item_tags,catalog_item_tags_pkey,id,EVET,1949,hayir,hayir,DUSUK,Koru
public,catalog_item_types,catalog_item_types_pkey,key,EVET,1322,hayir,hayir,DUSUK,Koru
public,catalog_item_verification_records,catalog_item_verification_records_pkey,id,EVET,4,hayir,hayir,DUSUK,Koru
public,catalog_item_verification_records,idx_catalog_verification_item_status,"item_id, verification_status",hayir,4,hayir,hayir,DUSUK,Koru
public,catalog_items,catalog_items_pkey,id,EVET,254976,hayir,hayir,DUSUK,Koru
public,catalog_items,catalog_items_slug_key,slug,EVET,254976,hayir,hayir,DUSUK,Koru
public,catalog_items,idx_catalog_items_created_by,created_by_user_id,hayir,254976,hayir,hayir,DUSUK,Koru
public,catalog_items,idx_catalog_items_item_type,item_type,hayir,254976,hayir,hayir,DUSUK,Koru
public,catalog_items,idx_catalog_items_linked_user_id,linked_user_id,hayir,254976,hayir,hayir,DUSUK,Koru
public,catalog_items,idx_catalog_items_platform_role_key,platform_role_key,hayir,254976,hayir,hayir,DUSUK,Koru
public,catalog_items,idx_catalog_items_published_at,published_at DESC,hayir,254976,hayir,hayir,DUSUK,Koru
public,catalog_items,idx_catalog_items_status,status,hayir,254976,hayir,hayir,DUSUK,Koru
public,catalog_items,idx_catalog_items_verification_status,verification_status,hayir,254976,hayir,hayir,DUSUK,Koru
public,catalog_items,idx_catalog_items_visibility,visibility,hayir,254976,hayir,hayir,DUSUK,Koru
public,catalog_search_documents,catalog_search_documents_pkey,item_id,EVET,2250,hayir,hayir,DUSUK,Koru
public,catalog_search_documents,idx_catalog_search_documents_category_slugs,category_slugs,hayir,2250,hayir,hayir,DUSUK,Koru
public,catalog_search_documents,idx_catalog_search_documents_city,city,hayir,2250,hayir,hayir,DUSUK,Koru
public,catalog_search_documents,idx_catalog_search_documents_country,country_code,hayir,2250,hayir,hayir,DUSUK,Koru
public,catalog_search_documents,idx_catalog_search_documents_embedding,embedding vector_cosine_ops,hayir,2250,hayir,hayir,DUSUK,Koru
public,catalog_search_documents,idx_catalog_search_documents_item_type,item_type,hayir,2250,hayir,hayir,DUSUK,Koru
public,catalog_search_documents,idx_catalog_search_documents_language_codes,language_codes,hayir,2250,hayir,hayir,DUSUK,Koru
public,catalog_search_documents,idx_catalog_search_documents_search_text_trgm,search_text gin_trgm_ops,hayir,2250,hayir,hayir,DUSUK,Koru
public,catalog_search_documents,idx_catalog_search_documents_title_trgm,title gin_trgm_ops,hayir,2250,hayir,hayir,DUSUK,Koru
public,catalog_search_documents,idx_catalog_search_documents_vector,search_vector,hayir,2250,hayir,hayir,DUSUK,Koru
public,city_ambassador_applications,city_ambassador_applications_pkey,id,EVET,2,hayir,hayir,DUSUK,Koru
public,command_center_items,command_center_items_pkey,id,EVET,5048,hayir,hayir,DUSUK,Koru
public,command_center_items,idx_command_center_items_archived_at,archived_at,hayir,5048,hayir,hayir,DUSUK,Koru
public,command_center_items,idx_command_center_items_assignee,assignee,hayir,5048,hayir,hayir,DUSUK,Koru
public,command_center_items,idx_command_center_items_category,category_label,hayir,5048,hayir,hayir,DUSUK,Koru
public,command_center_items,idx_command_center_items_created_at,created_at DESC,hayir,5048,hayir,hayir,DUSUK,Koru
public,command_center_items,idx_command_center_items_deleted_at,deleted_at,hayir,5048,hayir,hayir,DUSUK,Koru
public,command_center_items,idx_command_center_items_legacy_source_code,legacy_source_code,hayir,5048,hayir,hayir,DUSUK,Koru
public,command_center_items,idx_command_center_items_legacy_source_title_unique,legacy_source_title,EVET,5048,hayir,hayir,DUSUK,Koru
public,command_center_items,idx_command_center_items_priority,priority DESC,hayir,5048,hayir,hayir,DUSUK,Koru
public,command_center_items,idx_command_center_items_status,status,hayir,5048,hayir,hayir,DUSUK,Koru
public,command_center_items,idx_command_center_items_type,item_type,hayir,5048,hayir,hayir,DUSUK,Koru
public,command_center_legacy_map,command_center_legacy_map_pkey,id,EVET,594,hayir,hayir,DUSUK,Koru
public,command_center_legacy_map,command_center_legacy_map_unique,"legacy_table, legacy_row_id",EVET,594,hayir,hayir,DUSUK,Koru
public,community_group_details,community_group_details_pkey,item_id,EVET,16,hayir,hayir,DUSUK,Koru
public,consultant_categories,consultant_categories_pkey,id,EVET,2,hayir,hayir,DUSUK,Koru
